### next string,,,,,,,,,,,,,,,,,
Julian 1,Lockhart 3,AU-300y,2300,1695,-3.4,10.1
Julian 2,Lockhart 3,AU-300y,2300,1695,-3.4,10.1
,,,,,,,SOLO,1786755355605,Sat Aug 15 2026 00:55:55 GMT+0000 (UTC),0,,sighter,4,81.5,-14.4,578.9,19.4,
,,,,,,,SOLO,1786755373738,Sat Aug 15 2026 00:56:13 GMT+0000 (UTC),0,,,5,-10.2,-52.4,578.8,19.2,
,,,,,,,SOLO,1786755411664,Sat Aug 15 2026 00:56:51 GMT+0000 (UTC),0,,,5,-39.4,15.7,588.2,19.4,
,,,,,,,SOLO,1786755427322,Sat Aug 15 2026 00:57:07 GMT+0000 (UTC),0,,,4,-18.3,82.5,585.2,19.7,
,,,,,,,SOLO,1786755449492,Sat Aug 15 2026 00:57:29 GMT+0000 (UTC),0,,,4,33.4,-72,587.3,19.8,
,,,,,,,SOLO,1786755461550,Sat Aug 15 2026 00:57:41 GMT+0000 (UTC),0,,,3,-62.7,175.5,583.5,19.7,
,,,,,,,SOLO,1786755474731,Sat Aug 15 2026 00:57:54 GMT+0000 (UTC),0,,,3,141.3,23.8,581.1,19.9,
,,,,,,,SOLO,1786755500716,Sat Aug 15 2026 00:58:20 GMT+0000 (UTC),0,,,4,116.5,55.7,580.5,19.8,
,,,,,,,SOLO,1786755531208,Sat Aug 15 2026 00:58:51 GMT+0000 (UTC),0,,,3,-165.8,63.9,585.4,19.4,
,,,,,,,SOLO,1786755552624,Sat Aug 15 2026 00:59:12 GMT+0000 (UTC),0,,,3,-41.2,129.9,579.7,19.6,
,,,,,,,SOLO,1786755567795,Sat Aug 15 2026 00:59:27 GMT+0000 (UTC),0,,,3,137.3,13.8,566.1,19.9,
### next string,,,,,,,,,,,,,,,,,
Mango 2,Lockhart 3,AU-300y,2300,1695,-3.4,10.1
,,,,,,,SOLO,1786755829988,Sat Aug 15 2026 01:03:49 GMT+0000 (UTC),0,,,6,34.8,-2.5,666.8,20.3,
,,,,,,,SOLO,1786755860286,Sat Aug 15 2026 01:04:20 GMT+0000 (UTC),0,,,5,41.1,34.7,667.8,20.1,
,,,,,,,SOLO,1786755906218,Sat Aug 15 2026 01:05:06 GMT+0000 (UTC),0,,,5,22.2,37.8,660.7,20.2,
,,,,,,,SOLO,1786755933545,Sat Aug 15 2026 01:05:33 GMT+0000 (UTC),0,,,X,3.4,-14.8,669.6,20.4,
,,,,,,,SOLO,1786755962078,Sat Aug 15 2026 01:06:02 GMT+0000 (UTC),0,,,X,10.6,9.8,664,20.4,
,,,,,,,SOLO,1786755995405,Sat Aug 15 2026 01:06:35 GMT+0000 (UTC),0,,,X,19.4,-4.1,660.9,20.5,
,,,,,,,SOLO,1786756017047,Sat Aug 15 2026 01:06:57 GMT+0000 (UTC),0,,,6,20.2,13.5,662.9,20.3,
,,,,,,,SOLO,1786756044284,Sat Aug 15 2026 01:07:24 GMT+0000 (UTC),0,,,5,-18.7,40.9,663.2,20.8,
,,,,,,,SOLO,1786756066921,Sat Aug 15 2026 01:07:46 GMT+0000 (UTC),0,,,5,62.5,6.2,666.1,20.8,
,,,,,,,SOLO,1786756086358,Sat Aug 15 2026 01:08:06 GMT+0000 (UTC),0,,,5,-10.7,42.7,665.4,20.7,
### next string,,,,,,,,,,,,,,,,,
